k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.15948,1,0.0432333,0.0507333,0,0.125,442,0
0.15911,1,0.0433312,0.0508312,0,0.125,443,0
0.158741,1,0.043429,0.050929,0,0.125,444,0
0.158372,1,0.0435268,0.0510268,0,0.125,445,0
0.158012,1,0.0436246,0.0511246,0,0.125,446,0
0.157652,1,0.0437224,0.0512224,0,0.125,447,0
0.157292,1,0.0438202,0.0513202,0,0.125,448,0
0.156931,1,0.043918,0.051418,0,0.125,449,0
0.156571,1,0.0440159,0.0515159,0,0.125,450,0
0.156211,1,0.0441137,0.0516137,0,0.125,451,0
0.15585,1,0.0442115,0.0517115,0,0.125,452,0
0.15549,1,0.0443093,0.0518093,0,0.125,453,0
0.155129,1,0.0444071,0.0519071,0,0.125,454,0
0.154769,1,0.0445049,0.0520049,0,0.125,455,0
0.154408,1,0.0446027,0.0521027,0,0.125,456,0
0.154057,1,0.0447005,0.0522005,0,0.125,457,0
0.153706,1,0.0447984,0.0522984,0,0.125,458,0
0.153356,1,0.0448962,0.0523962,0,0.125,459,0
0.153006,1,0.044994,0.052494,0,0.125,460,0
0.152655,1,0.0450918,0.0525918,0,0.125,461,0
0.152309,1,0.0451896,0.0526896,0,0.125,462,0
0.151974,1,0.0452874,0.0527874,0,0.125,463,0
0.15164,1,0.0453852,0.0528852,0,0.125,464,0
0.151305,1,0.045483,0.052983,0,0.125,465,0
0.15097,1,0.0455809,0.0530809,0,0.125,466,0
0.150636,1,0.0456787,0.0531787,0,0.125,467,0
0.150307,1,0.0457765,0.0532765,0,0.125,468,0
