t	etaU
767.778	0.0374789
768.333	0.0115628
768.889	0.017219
769.444	0.0233382
770	0.0415865
770.556	0.0416083
771.111	0.00418169
771.667	0.0309331
772.222	0.0280061
772.778	0.0123279
773.333	0.0107063
773.889	0.0410555
774.444	0.0442615
775	0.0306858
775.556	0.0306597
776.111	0.0150725
776.667	0.0265593
777.222	0.0409421
777.778	0.0403276
778.333	0.00486043
778.889	0.0296521
779.444	0.0322034
780	0.00666486
780.556	0.00651412
781.111	0.0319185
781.667	0.0299629
782.222	0.016567
782.778	0.0258153
783.333	0.00332852
783.889	0.0129623
784.444	0.0225932
785	0.0158249
785.556	0.0139721
786.111	0.00916455
786.667	0.0149578
787.222	0.020443
787.778	0.0173072
788.333	0.00506535
788.889	0.01991
789.444	0.00428152
790	0.00139757
790.556	0.0264852
791.111	0.00163941
791.667	0.00754306
792.222	0.0185562
792.778	0.00306933
793.333	0.00935474
793.889	0.0026403
794.444	0.043492
795	0.0226414
795.556	0.0406711
796.111	0.00813252
796.667	0.00175136
797.222	0.0374642
797.778	0.024606
798.333	0.0220455
798.889	0.038977
799.444	0.0474571
800	0.00445715
800.556	0.0230112
801.111	0.0202456
801.667	0.0474516
802.222	0.0263175
802.778	0.0500771
803.333	0.0214474
803.889	0.00783422
804.444	0.0417173
805	0.0219095
805.556	0.0244319
806.111	0.022913
806.667	0.0582834
807.222	0.00850965
807.778	0.0291554
808.333	0.0242706
808.889	0.0328688
809.444	0.00140038
810	0.0402503
810.556	0.00998703
811.111	0.00528605
811.667	0.026365
812.222	0.00272083
812.778	0.00772563
813.333	0.00343479
813.889	0.0375328
814.444	0.0135858
815	0.00522507
815.556	0.00320179
816.111	0.00529163
816.667	0.00449597
817.222	0.00442311
817.778	0.00328969
818.333	0.00732114
818.889	0.00426661
819.444	0.0281988
820	0.00139414
820.556	0.0295991
821.111	0.000833425
821.667	0.0217547
822.222	0.00809494
822.778	0.0299628
823.333	0.0232345
